,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,SCIO-469,SL-327,5-Fluorouracil,Olaparib,Bafetinib,OTS964,Abemaciclib,CCT137690,Belumosudil,Parthenolide
47,Q96GX5,MASTL,0.0,0.0,0.03144346104437354,0.0,0.0,0.0,0.0,0.0,0.02033822263883217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Q9Y5P6,GMPPB,0.0,0.031737657223814955,0.02888522520050479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Q96AB3,ISOC2,0.004201816411840031,0.0,0.0,0.005470307222220383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Q9BV57,ADI1,0.0,0.0,0.0,0.0,0.0,0.05643820565070225,0.0,0.021668156377364852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Q9Y3Y2,CHTOP,0.061658717629593386,0.11813726192467663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Q12982,BNIP2,0.0,0.045911363057184684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008433038410057223,0.0,0.0,0.0,0.0,0.0,0.0
53,Q9H0H5,RACGAP1,0.0,0.08220241173056436,0.0,0.0,0.0,0.0,0.0,0.0,0.06600159420229662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Q8NBQ5,HSD17B11,0.0,0.03442495066065638,0.0,0.0,0.0,0.0,0.0,0.026330335585058595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,O75616,ERAL1,0.0,0.10144165809339903,0.0,0.0,0.0,0.0,0.004049871810638275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Q9BSL1,UBAC1,0.0,0.0,0.0,0.0,0.0,0.0045478385590878925,0.009037308377181478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Q5ST30,VARS2,0.0,0.0,0.027062430229407797,0.0,0.0,0.020774037289107514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,P15976,GATA1,0.018079122148373337,0.0,0.0,0.0,0.0,0.03314475470330135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Q8IWD4,CCDC117,0.0,0.11890893412851422,0.0,0.0,0.0,0.02620254238598388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Q9Y6B6,SAR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.014561201222774059,0.0,0.0,0.035259704409232207,0.0,0.0,0.0,0.0,0.0,0.0
61,Q04760,GLO1,0.0,0.0,0.0210188881415332,0.0,0.0,0.0,0.0,0.004880944707747746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Q9Y2H0,DLGAP4,0.0,0.0,0.012960972557394923,0.0,0.0,0.0,0.0,0.044782860076765824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Q9Y3B4,SF3B6,0.0,0.006782735370122195,0.0,0.0,0.06762014114933602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,P80404,ABAT,0.0,0.0,0.04706259362582116,0.0,0.0,0.0,0.09519965693707078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,P15735,PHKG2,0.03330806942169975,0.0,0.0,0.0,0.0,0.019485922139545683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Q9Y2R5,MRPS17,0.03598781031180935,0.0,0.0,0.0,0.0,0.028355161729582624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,O95232,LUC7L3,0.0,0.0,0.0,0.0,0.061050966207043186,0.0,0.007023738742162689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Q9NUQ3,TXLNG,0.0,0.0,0.0,0.0,0.005017654604803863,0.019940072684909903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Q96EK5,KIFBP,0.0,0.05500327203009071,0.0,0.0,0.0,0.0,0.013155602198872527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Q92974,ARHGEF2,0.0,0.03203794263163075,0.0,0.0,0.05547600692437828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Q06520,SULT2A1,0.037260628021599046,0.0,0.0,0.0,0.0,0.0,0.004266791566976763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,P0CG12,DERPC,0.0,0.0,0.0,0.0,0.033191113432571306,0.0,0.0,0.0,0.02584292334952398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Q9UBF2,COPG2,0.029920462145761634,0.012246907528593254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,P02768,ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23748574707167946,0.043054968397603394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Q12840,KIF5A,0.0,0.0,0.026235207797446668,0.0,0.043901361057628686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,P27144,AK4,0.0,0.03889484737635944,0.0,0.0,0.031008046721970436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,P56192,MARS1,0.027356842154875795,0.0,0.0,0.0,0.00405894875545491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,P35789,ZNF93,0.0,0.0,0.0,0.0,0.0,0.0,0.010230519849228098,0.060375104116437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Q15054,POLD3,0.0,0.0,0.0,0.0,0.07610014867262957,0.02569258040985914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Q9Y305,ACOT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022366827370315045,0.024008194934533253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,P49354,FNTA,0.0,0.0,0.0,0.0,0.0,0.0,0.025317381563169594,0.10074919359114046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,P12429,ANXA3,0.0,0.06395734463668616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024258645632019123,0.0
83,Q99704,DOK1,0.0,0.0,0.0,0.02551958199830475,0.048315421872740766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,P83876,TXNL4A,0.0,0.0,0.003468540938474759,0.0,0.0,0.0,0.0,0.03133764259408617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,P13995,MTHFD2,0.0,0.0,0.0,0.0,0.022419439457489573,0.0,0.018280201069090576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Q9HCE5,METTL14,0.06720675076786989,0.006593092549284587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Q9UBF6,RNF7,0.0,0.0,0.0,0.0,0.011581896138787918,0.0,0.0,0.0,0.013833123072519339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,P05387,RPLP2,0.0,0.0,0.0,0.005610888299313638,0.0,0.0004966259263337047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,P20618,PSMB1,0.0,0.01785105168482943,0.0,0.0,0.007528483102104669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,P08590,MYL3,0.0,0.0034607813826440584,0.0,0.0,0.0,0.007477774550937608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Q9NZL4,HSPBP1,0.0,0.002699470894901885,0.0024923211861996837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,P09525,ANXA4,0.0,0.0,0.0,0.0,0.028260709511781616,0.0,0.04136511212900512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Q8NBF6,AVL9,0.0,0.0062255625143360065,0.026788280300435348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,P42167,TMPO,0.0,0.023737645957988114,0.01629017821707951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Q86TP1,PRUNE1,0.0,0.0,0.05599820616184417,0.0,0.0,0.0,0.0,0.013607728167541784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Q5JPH6,EARS2,0.0,0.0,0.0,0.0,0.07961043180270568,0.0,0.0,0.03923925039363338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,O60306,AQR,0.0,0.08615790199781748,0.0038627244958043677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Q9UDY4,DNAJB4,0.0,0.0,0.0,0.041348346263191525,0.0,0.0,0.0,0.0,0.004928292268635944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Q9NZJ0,DTL,0.0,0.0,0.0,0.0,0.0,0.024874298465853813,0.029134367982786746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Q8N806,UBR7,0.0,0.0,0.0,0.0,0.0,0.0001642748945456171,0.0,0.03910996012143332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Q13643,FHL3,0.0,0.0,0.0004694955164063052,0.0,0.029485013573017044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,P61927,RPL37,0.0,0.0,0.0,0.0,0.032811750200588866,0.0,0.026769772598995212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,P40925,MDH1,0.0,0.01995756766018958,0.02140411925427932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Q14061,COX17,0.0,0.0,0.0,0.0,0.0,0.10606350552996194,0.0,0.0008106537008018833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Q9NVI1,FANCI,0.0,0.0,0.0,0.0,0.024493725006799,0.0,0.0,0.0,0.020946957839869648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,O00571,DDX3X,0.0,0.0,0.0,0.0,0.03868941157824556,0.0,0.0,0.0,0.0667170765113953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Q9UPN7,PPP6R1,0.0,0.0017771434058443895,0.0,0.0,0.03350284502843988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,P33981,TTK,0.0,0.0,0.008674633683666656,0.0,0.0,0.0,0.02764312646907074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Q9UHP3,USP25,0.0,0.0,0.0,0.0358340444583274,0.0,0.017280775452752972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Q13895,BYSL,0.0,0.02323335052970718,0.0,0.0,0.0,0.0,0.003677649960734858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Q5T440,IBA57,0.0,0.0,0.03657548731541917,0.0,0.006425199566523619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,P51572,BCAP31,0.0,0.0,0.006570712686128414,0.0,0.00031076749188618845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,P13693,TPT1,0.03168872475237975,0.0,0.0,0.0,0.0,0.04391962345467373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Q9BQI6,SLF1,0.0,0.0,0.05104485213374797,0.0,0.04826190684176779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,P62495,ETF1,0.025558608669903265,0.0,0.0,0.0,0.0,0.0013300405232398622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Q96EB6,SIRT1,0.0,0.005726023453653733,0.0,0.02308068348685131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Q9NTZ6,RBM12,0.0,0.0013103002410912723,0.0,0.0,0.027773916644828166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Q02818,NUCB1,0.0,0.0149873077448438,0.026861979390489905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Q06546,GABPA,0.01767630271671844,0.0,0.0,0.0,0.0,0.0,0.023538935749870562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Q16540,MRPL23,0.0730126591915252,0.0,0.0,0.02126144464740213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,O95551,TDP2,0.008107622121390642,0.0,0.0,0.0,0.0,0.018561596340401193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Q15075,EEA1,0.0,0.02396407183368024,0.0,0.0,0.0,0.0,0.0,0.023055408290515604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Q9NU19,TBC1D22B,0.0,0.034794451472240945,0.010977819902982704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Q9Y5X3,SNX5,0.0031783119349683003,0.0,0.0,0.0,0.0,0.028491195565667732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,O75607,NPM3,0.0,0.0,0.03216517294266398,0.0,0.07356366815471754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,P0CAP2,POLR2M,0.0,0.0,0.0,0.013753895753862763,0.0,0.02258760855487641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Q9BQ52,ELAC2,0.0,0.029702447911667106,0.036400716367252825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Q14790,CASP8,0.03472696404498738,0.0,0.0,0.0,0.00478673529645235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,O43924,PDE6D,0.0,0.004325330885451454,0.0,0.0,0.0,0.0,0.013862285298750342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Q96HC4,PDLIM5,0.0,0.0,0.02860051132006909,0.0,0.026502876074378408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Q96GD0,PDXP,0.0,0.04630178013655607,0.036282877728032396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Q9Y6K9,IKBKG,0.0,0.036037118817706056,0.0,0.00426198560365929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,P19338,NCL,0.0,0.0,0.0,0.0,0.08705725324004741,0.0,0.005485696176306419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,O60493,SNX3,0.0,0.0,0.0,0.0,0.011170007141180195,0.0,0.008770541529682783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Q7Z7K0,CMC1,0.0,0.0,0.03965690836920313,0.0,0.0,0.012938356406599558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Q12834,CDC20,0.0,0.0,0.0,0.0,0.007310579947656375,0.0,0.0,0.0,0.052417899471569884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,P39023,RPL3,0.013279689885743594,0.0,0.0,0.0,0.0,0.07831705423124043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Q9UNZ2,NSFL1C,0.0,0.016226048276824608,0.0,0.0,0.045681853114580576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Q9BY43,CHMP4A,0.0,0.005131846913512094,0.0,0.009770409988644037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Q07960,ARHGAP1,0.0,0.05718630687857337,0.025409334166191285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Q9BQI0,AIF1L,0.0,0.0,0.019455929363248577,0.0,0.0,0.0,0.0,0.026906994959902456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Q13561,DCTN2,0.0,0.0,0.0,0.0,0.010466051949769682,0.0,0.004795560522147762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Q9NQ50,MRPL40,0.0,0.0619370241608937,0.0,0.0,0.0,0.06343149835109779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,O14929,HAT1,0.04036146929798251,0.0,0.0,0.0,0.0,0.0,0.0,0.0017415934055886803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,P27540,ARNT,0.17243266112200104,0.08505589348654273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,P49757,NUMB,0.10811485752280295,0.0,0.0,0.05642651013499011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,P30153,PPP2R1A,0.0,0.0,0.0,0.007788742069346545,0.0,0.0,0.0,0.0038229822431782856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,P30046,DDT,0.0,0.005343713544663061,0.03033363643147147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Q9BTW9,TBCD,0.0,0.044083024847352575,0.0,0.0,0.0,0.0,0.013351563897166331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Q9UKU7,ACAD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654488522059983,0.008739626051226478
151,Q99848,EBNA1BP2,0.0,0.09251481687785071,0.0,0.0,0.03030094940013017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,P55795,HNRNPH2,0.0,0.0,0.0,0.0,0.0,0.0,0.15704244806215534,0.15129745908879644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
