Accession,Gene Symbol,# PSMs,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8,Abundances_Pool_9,Abundances_Pool_10,Abundances_Pool_11,Abundances_Pool_12,Abundances_Pool_13,Abundances_Pool_14,Abundances_Pool_15,Abundances_Pool_16,Abundances_Pool_17
Q53H96,PYCR3,46,0.896029697785757,0.9438865200478754,0.9482813435068821,0.9647011520047875,0.9718637791741472,0.9589972321962896,0.9288880161579892,0.9876664422501495,1.0,0.6303315744846157,0.570094376501414,0.6176901644634897,0.5988745881878416,0.6125906157532673,0.5957875050605805,0.6191555520238984,0.6137043102991779,0.5760536192470762
Q6IQ22,RAB12,11,0.9231182074332485,1.0,0.9156044545820476,0.9185562860593052,0.9062122635180465,0.8974909432443311,0.913323493895076,0.9522339997316519,0.9455252918287939,0.8105041753833429,0.8159008207272482,0.8051075300394374,0.8073381434482516,0.7710726867372071,0.9177894848201826,0.884258328416717,0.8610167758022974,0.8441792423293126
O95613,PCNT,13,1.0,0.8943517036359478,0.7306197118682826,0.8037960210381888,0.8461010747770409,0.877658358106563,0.7253601646466955,0.8607363366110221,0.7774982849302537,0.5652792026771994,0.5074183625317841,0.507721298867624,0.48560694635131335,0.43259308757933596,0.48166877398539504,0.4719748112385192,0.42926078788509725,0.4447105410129308
Q29RF7,PDS5A,22,1.0,0.9070346598202825,0.8847753530166881,0.9031835686777921,0.8775609756097562,0.9131707317073172,0.8663671373555841,0.7399743260590501,0.9030295250320926,,,,,,,,,
Q12959,DLG1,2,,,,,,,,,,,,,,,,,,
Q8N163,CCAR2,110,0.999799369446833,0.9483806248208656,0.9521997707079393,0.9112209802235598,0.952249928346231,1.0,0.933261679564345,0.7753940957294353,0.9095657781599311,0.7423949670567904,0.6868145951915761,0.6468224158557864,0.7754590608239468,0.6548208517229444,0.7125030023561708,0.6762083967789213,0.4587132161186852,0.7026168577807056
Q8WUD4,CCDC12,47,0.7580547796043807,0.764160479930682,0.8215764246392369,0.7795900124431664,0.78602627616293,0.7941736915664976,0.7693133798875924,0.8114067390639007,0.8245271890485242,0.8792189615216942,0.8758231420507995,0.9347681435422068,0.9608792419062478,0.8588210999701718,1.0,0.9541793818690774,0.9973384117660554,0.9639308904848221
Q9BYC9,MRPL20,13,1.0,0.9814996696369579,0.9562135038125682,0.9528920159288561,0.9899641065019018,0.9736781013946678,0.9446418686047965,0.9845532955945642,0.9845711530563046,,,,,,,,,
O75592,MYCBP2,4,,,,,,,,,,,,,,,,,,
O75439,PMPCB,83,0.7414511711850033,0.715287370536319,0.7415812054984242,0.7437021099897402,0.7521857279550032,0.7460158239802663,0.7330258444636873,0.7081713548328978,0.7657092965507928,1.0,0.9522386144964721,0.8939833226427197,0.9435920461834508,0.8576908274534957,0.984772289929442,0.9272354073123797,0.8778832584990378,0.8865298268120589
A6NK58,LIPT2,4,,,,,,,,,,,,,,,,,,
P54886,ALDH18A1,42,0.9536051549827796,0.9977446950338852,0.8895456060437731,0.9129318964559493,1.0,0.9958004666148207,0.9054105099433397,0.7627152538606822,0.8920675480502166,0.7662121058539929,0.6472619306580129,0.5793626096892025,0.6981443002177663,0.6118801505005683,0.6264259934541844,0.6101391422705988,0.45547021758234135,0.6130033816166777
Q12968,NFATC3,8,1.0,0.8702525148840073,0.6578731266680353,0.7267501539724902,0.7494354342024225,0.8868815438308355,0.7566208170806816,0.8024019708478752,0.717306507903921,,,,,,,,,
P57772,EEFSEC,4,,,,,,,,,,,,,,,,,,
P31749,AKT1,47,0.7217433828473624,0.7146219206552967,0.7170059294577908,0.7613546060272632,0.7174338284736231,0.7420074576685616,1.0,0.7271838131915153,0.7249526254661043,0.5097398876110136,0.5882243355194026,0.6462575937520922,0.6070875504673414,0.7324894335140989,0.6307628100448567,0.6400019357336432,0.6505884339187109,0.5760017421602788
P57721,PCBP3,97,0.41300539970276795,0.3940754098201051,0.41511257010941477,0.41725428429321965,0.47476967326152925,0.42803194276656054,0.44658195110048376,0.4179106160592244,0.4376696565936827,0.6793960272667302,0.7046104229275086,0.8270908158029759,0.6848933519020743,1.0,0.7272594004251264,0.7669867331232135,0.7447775415964231,0.6220039580737374
Q96PE3,INPP4A,2,,,,,,,,,,,,,,,,,,
Q9H496,TOR1AIP2,4,0.9223659889094269,0.9208256315465188,0.9094269870609982,1.0,0.9157424522489218,0.9066543438077634,0.9325323475046211,0.9331484904497843,0.9952248921749847,,,,,,,,,
O00429,DNM1L,59,0.9176669208147261,0.9016447010129617,0.9163707657117962,0.8682496460080601,0.9534037686526523,1.0,0.9297679991286353,0.7520967214900338,0.8949134081254766,0.6206515332937765,0.5805691596165857,0.5505567418878515,0.6445868752104789,0.5575552515775198,0.622691851165686,0.576510462774615,0.4171682186490336,0.6765518552037285
O95218,ZRANB2,29,0.8899990734163141,0.926714951972079,1.0,0.9001683293696141,0.9111251814559718,0.8794128548043364,0.8525959786268028,0.9554158816443772,0.9341276214596782,0.817229962186271,0.8104060451424994,0.7194692965549001,0.6816302372392228,0.7496936844912617,0.7362508607870077,0.722075857142435,0.8677210908706579,0.8322250073640006
Q9Y265,RUVBL1,198,0.9990029450680781,0.9523701395706176,0.9852131973195614,0.9535823125186733,0.9489419095992147,0.9849997865892698,0.9585385633189638,1.0,0.9408340091339792,0.6755972474524011,0.8345030220499529,0.8609579601376566,0.9163999360884166,0.8712680098751242,0.9055504390075044,0.8708661766499053,0.8356149441252162,0.8273085559491145
P27816,MAP4,363,0.8890504635270651,0.8472806233958918,0.9005805091230541,0.8556250117617668,0.820888659105153,0.9051594187107331,0.8058864067893456,0.8930688789515983,0.8562939073447716,0.9421960370333384,0.9873726206270181,0.9213731056553351,0.9922799659529141,0.8948962657574764,0.9736491723609941,0.9619966048017803,0.9612476640180316,1.0
O60234,GMFG,10,0.8525066883796671,0.9067116435966035,0.967430499011283,1.0,0.9638827497964405,0.9323601256252181,0.9527160637431662,0.9377689891822729,0.9298010934046761,,,,,,,,,
O00410,IPO5,401,0.7930019160996209,0.8635953883882932,0.9048213385008983,0.8985311769149236,0.9150192282656577,0.8334853709887071,0.9297267241225978,0.8880726525180241,0.9026422180198109,0.8816426738087269,0.9384592493397316,0.970087663827202,0.8939379285546009,0.990112710634974,0.8993217522845912,0.9668613374003397,1.0,0.9184714007613238
Q32P44,EML3,52,0.7128608637830102,0.6735211413364603,0.6851584985658534,0.6626020272485688,0.70245997575924,0.7017235492470676,0.6565287814444792,0.6936410409838406,0.6727756231389523,1.0,0.8591382413926676,0.8549228700982069,0.8757718686627021,0.8168478137033747,0.8933852849363139,0.8814911021487002,0.8481554902362888,0.8779137329961038
Q9Y5U2,TSSC4,30,0.6843268849218689,0.6725783720383077,0.6355712418992493,0.6564704343041371,0.6136713010223663,0.6467919627804567,0.5897081732271917,0.636818750268449,0.6325689964832636,1.0,0.7865822556932401,0.7667196735575627,0.7384259953793993,0.7158630621980858,0.8103753487953435,0.7461069939092082,0.7839719163491254,0.7473971616310121
P02042,HBD,150,0.9107128425884522,0.9069818812665335,0.965324957302717,0.9796884849333815,0.9362126836521936,0.9334730535696005,1.0,0.9886050784175336,0.979874359540755,0.833447475018204,0.8754884635516694,0.9045743752828558,0.8472973090704456,0.9667221975109087,0.8920351715685878,0.8880906783398784,0.903925361221263,0.8389231373436808
Q02878,RPL6,120,0.5881177189663973,0.5709225127477913,0.6335398713173178,0.5871900543949968,0.6333059897834266,0.6352281422216248,0.5884891778731656,0.648325508119532,0.6098549438809912,0.7488325459981392,0.913856798330789,0.8905619134503345,1.0,0.8341537877898312,0.8156732393348447,0.850484595026691,0.835364146290793,0.9234312760249659
Q9BS16,CENPK,3,,,,,,,,,,,,,,,,,,
Q92797,SYMPK,20,1.0,0.965256744382616,0.9070578291188278,0.950588152426569,0.9556244276959922,0.9258822286398534,0.8895717405085581,0.8125660350778333,0.877843910685356,,,,,,,,,
Q9P015,MRPL15,43,0.9723339930834982,0.9248972312243079,1.0,0.9094982273745569,0.9374324843581211,0.9890959972739995,0.9650477412619354,0.9946929986732496,0.9238532309633077,0.7583438128766643,0.839955009540139,0.7822101400036434,0.9018677547407609,0.761929583001108,0.7824662664411036,0.8217001798156985,0.734454201528098,0.8143656500157
O43298,ZBTB43,3,,,,,,,,,,,,,,,,,,
Q5F1R6,DNAJC21,2,0.9176470588235294,1.0,0.9149732620320855,0.9037433155080212,0.9748663101604278,0.9096256684491978,0.8930481283422459,0.7636363636363637,0.9529411764705882,,,,,,,,,
Q6ZN17,LIN28B,40,0.9869759815056249,1.0,0.937756212954127,0.9290332119191947,0.9976344403973065,0.9916936600314513,0.9792341500786281,0.9878093036383919,0.9781857770728889,0.7325372824713702,0.6160431894059312,0.5387933291470922,0.5799280648629802,0.5142819810818403,0.6043090334172467,0.6050913104831591,0.5618705025915048,0.5595236713937679
Q5TC82,RC3H1,2,,,,,,,,,,,,,,,,,,
Q7RTV0,PHF5A,34,1.0,0.9520488554157168,0.8964795362203944,0.9239421266475077,0.9711376474085819,0.9297517589931622,0.8626622733128531,0.9394757704885541,0.9791522148449112,0.9961962977047487,0.7692692108629333,0.7290220287173228,0.7344325345564986,0.7028770682428542,0.7515716207954358,0.7793222797770144,0.7207840972460617,0.7639983309808975
Q9ULJ6,ZMIZ1,25,0.9141436000877513,0.9101695328607772,0.8648867940500188,0.9018969847556476,0.8934081608830637,0.8638865186255424,0.8921375407492693,0.8994368479008542,0.891110230853861,0.9275755520385861,0.9086592810309744,0.9092621900670737,0.9287813701107845,0.8937372823875198,1.0,0.9313437335142059,0.9579470947320822,0.9108448262868338
Q96GX9,APIP,91,0.96397297679017,0.971533041445004,0.945196396905356,0.9779200602608165,0.9711446416521508,0.9632707185788492,0.9739654441881267,1.0,0.99720666007564,0.9845382778352338,0.9134234497972297,0.8987905095712279,0.834014519863884,0.9689119375723375,0.9026379636823749,0.9390941682109483,0.9228370977658967,0.8819500137076828
Q7Z2W9,MRPL21,19,0.9549730028809648,0.9366569362562724,0.9821036765687903,0.9170625608150651,0.9295022227310019,1.0,0.9013794287676721,0.9721252361055464,0.9729647224925114,0.9967840894584349,0.9497810887766527,0.8363329371310778,0.9243567384078702,0.8894249629011821,0.8550273124022413,0.887288462870192,0.8381489621574195,0.8651756875494443
P14866,HNRNPL,77,0.9540223929373708,0.9026404193113092,0.8913131011818652,0.8815170686514014,0.9074650177738502,0.9900390692859918,0.8761575690549702,0.5681908632819462,0.9364650498367325,1.0,0.8002619515389654,0.7610783671687404,0.8254747871643745,0.801735428945645,0.8524885396201701,0.7784872298624754,0.5420759659462999,0.8108491595721459
P49902,NT5C2,59,0.7260028285585631,0.7685890637290362,0.7870029115018855,0.7941730047277917,0.794581119694697,0.7541028544909002,0.7784811714589809,0.8104788825339647,0.8085356562236538,1.0,0.9007656549083948,0.889937106918239,0.8575334974022424,0.9142739950779327,0.7992616899097621,0.8709051134809954,0.9317473338802297,0.8710144927536233
Q96GX5,MASTL,10,0.9520946950917204,0.9564328210213189,0.8050322260783341,0.8067674764501735,0.9173896876549331,0.9661006445215667,0.8935919682697075,0.8703520079325733,1.0,,,,,,,,,
Q9Y5P6,GMPPB,41,0.6776834565681337,0.6857829331431496,0.7072830188651837,0.7144015029357723,0.7083834912259196,0.6819092704333594,0.696737349442589,0.7416932174820222,0.7451266912475182,1.0,0.8294467659009068,0.8160636228842116,0.8270012131482158,0.822591515665017,0.7692515068071095,0.8354739943386416,0.8284454372147656,0.8019872523155726
Q9NZW5,MPP6,1,,,,,,,,,,,,,,,,,,
Q96AB3,ISOC2,26,0.696846903095849,0.7482497256714613,0.7114611555503696,0.780639967890375,0.8084773083830726,0.7560908341999445,0.7884670242530365,0.7441745975831815,0.7816095673320692,0.7784358267077722,0.826139866947915,0.9187084212234303,0.8644329060522473,1.0,0.9207366542268378,0.9112039591108229,0.8946535778030181,0.8561982800584131
Q9BV57,ADI1,74,0.9124464030514674,0.9763713000957641,0.7918885468052719,0.8302331949335476,0.9396356491565745,0.8823338335650267,0.9774283738304546,0.8757481706515584,0.8233856022451119,0.7276879234529225,0.9723894540170231,0.9662558740823222,0.9722007284805707,0.8332421159907148,0.9773151905184292,0.9681242568932004,1.0,0.8692698208994659
Q8IY81,FTSJ3,3,,,,,,,,,,,,,,,,,,
Q9Y3Y2,CHTOP,4,0.9620781824256598,0.9127965252255261,1.0,0.9839625793518209,0.8806381556966254,0.9481289675910455,0.8988473103909118,0.9575676578683595,0.9983294353491479,,,,,,,,,
Q8WZA2,RAPGEF4,1,,,,,,,,,,,,,,,,,,
Q96GS4,BORCS6,1,,,,,,,,,,,,,,,,,,
Q12982,BNIP2,6,,,,,,,,,,0.9786360667972759,0.8938333799794758,0.9535404422054296,0.9655751469353483,0.9971079391734303,0.8720029853531113,0.8822651366731972,0.9395465994962217,1.0
Q9H0H5,RACGAP1,4,0.7814101000243963,0.7721395462307881,0.7533544767016346,0.8087338375213468,0.7623810685533057,0.7531105147596976,0.704074164430349,0.7362771407660407,1.0,,,,,,,,,
Q8NBQ5,HSD17B11,12,0.870210889426605,0.8504102421179798,0.8872979576608145,0.8942515040390042,0.9111265739080254,0.8263272278325425,0.838538333667412,0.7569189630697599,0.8403191199349973,0.9358910479986714,0.9920279023418036,0.9272546088689585,1.0,0.9976748048496927,0.8658030227536954,0.8847367546919117,0.9045009134695233,0.953496096993855
O75616,ERAL1,8,0.8900621846767571,0.9002698580312096,0.9305408893582073,0.9928428956940045,0.968203684148774,0.9584653291094686,0.9420391880793147,0.8577965505103837,1.0,0.8276985577679847,0.5888132809468287,0.6019253373075097,0.6076618619653076,0.6060228549202225,0.6039740961138661,0.6617490944531165,0.4044249883747529,0.7207533480761806
Q9BSL1,UBAC1,143,0.9424031116854535,0.9928246990032882,0.9322440728277697,0.9319932955461444,0.9531276789027215,0.945404762209399,1.0,0.9517151374796882,0.9302634440932995,0.8751323164918225,0.9431663602891057,0.9616715363258149,0.8714365235439813,0.9938275561017846,0.8378283978863775,0.8584252354637797,0.9689425502529864,0.8960751431962567
Q5ST30,VARS2,64,0.6848026457412143,0.6654919609857641,0.6440012869985138,0.6373685538038876,0.6710965432306406,0.6672081227214366,0.6564627857278114,0.7540907432044247,0.6846480365758384,1.0,0.9017946443735728,0.8674114472268875,0.8941329659753543,0.8642410975448661,0.9071351738974542,0.9283274518314432,0.9479156837953615,0.9469532562133192
P15976,GATA1,7,0.9256989086560025,0.9125429810136044,0.8632830019434894,0.7816564508895201,0.9354163552100464,1.0,0.8971445657048887,0.9293616385109881,0.9420690686201225,,,,,,,,,
Q8IWD4,CCDC117,16,0.6058614698995392,0.6072966236120552,0.5962308331444972,0.6211949543016844,0.6721806782989651,0.681055970994788,0.5584258629805875,0.7082861243296321,1.0,0.846172037915241,0.6949080024524248,0.6547707595964142,0.6636901468977499,0.651480821657397,0.7010492199385904,0.6793356295410764,0.7284653694304009,0.8632066054661526
Q9Y6B6,SAR1B,27,0.6191186384478555,0.6477479511562739,0.6809407919122195,0.6300789066645661,0.6940463083564002,0.6309760104687808,0.6589032419391182,0.5917764746759191,0.6951384347267485,0.6470842332613391,0.6336933045356371,1.0,0.749244060475162,0.7509719222462202,0.6982721382289417,0.723110151187905,0.7103671706263499,0.7060475161987041
Q04760,GLO1,134,0.8723215720008083,0.9226410401239525,0.8884452551340315,1.0,0.9462163884815288,0.8756406203848125,0.9840214118780993,0.9009648818252951,0.9596428589935588,0.8374720407057439,0.8723275607307325,0.8915129461139679,0.8453935043582085,0.8969775140869019,0.8616360146967315,0.8788342844534452,0.9479675490359285,0.8751570405902359
Q9Y2H0,DLGAP4,41,0.861140301070741,0.9454977340197486,0.9077087531403332,0.96769594860628,0.957236498541442,0.8740599712449162,0.9593663462360965,0.9180768236011103,0.9597599814535904,0.9055886054227205,0.9848987530030888,1.0,0.9794931929985127,0.9765759066468366,0.9001544445715592,0.9993421805285436,0.9937936162910421,0.996138885711017
Q96HU1,SGSM3,2,1.0,0.9300141743444366,0.8662296243798724,0.8683557760453579,0.878632175761871,0.9907866761162296,0.8795180722891566,0.9284195605953225,0.8330970942593905,0.673364699067014,0.7972604092923247,0.7879258009876778,0.9039719542295358,0.8036249149545838,0.8469035534579458,0.8403268976069448,0.8191118787327477,0.8082922191069071
Q9Y3B4,SF3B6,13,0.94889613360787,0.9643674216426447,1.0,0.8703671928620452,0.9623083962479982,0.9715740105239077,0.9235300846488218,0.8880690917410203,0.9295927705330588,0.48564166564555644,0.505194505211646,0.46608882607946694,0.47403713484617,0.4861185641715587,0.5260190741804079,0.4443104600587006,0.3948719795298076,0.5218859536217224
P80404,ABAT,10,,,,,,,,,,1.0,0.7208445863000246,0.6899091578688927,0.6339307635649398,0.622636876994844,0.6376135526638841,0.6513626319666094,0.7142155659219248,0.6999754480726738
Q9BTD8,RBM42,2,,,,,,,,,,,,,,,,,,
P15735,PHKG2,16,0.7412089332013272,0.7228414485998038,0.7279435276557826,0.7421589755083026,0.8133417750272337,0.773299251125828,0.7518001455864969,0.748422217383918,0.7808292160774105,0.8026912388474476,0.9126810004387889,0.9416410706450196,1.0,0.9395933889132659,0.9483691677636389,0.9982448442299253,0.9125347374579493,0.8872312417727072
Q9HAR2,ADGRL3,1,,,,,,,,,,,,,,,,,,
Q9H2R5,KLK15,1,,,,,,,,,,,,,,,,,,
Q8N5M9,JAGN1,2,,,,,,,,,,,,,,,,,,
Q9Y2R5,MRPS17,18,0.9642531206979227,0.9440517254713916,0.976550294668131,0.9518167334374855,0.9746322448916456,0.9626444337886124,0.947098949713066,0.9788550480285851,1.0,0.5633885758261569,0.6484818011585884,0.6319803652764672,0.6799453598741256,0.6468193430659865,0.579582149098537,0.5992237836000174,0.5810598896252942,0.5854315386836174
O95232,LUC7L3,21,0.9290584153622718,0.9662740035501047,1.0,0.8782273680813295,0.9637324511860577,0.9534048733258028,0.8704211715346134,0.8510367919961271,0.8995885105696304,,,,,,,,,
Q9NUQ3,TXLNG,20,0.5192126356611751,0.5437752455639351,0.4691867868258872,0.46341457349873866,0.5378802191872728,0.5284236143747101,0.5235929677605007,0.5139316745320819,0.47860245395527856,1.0,0.8703088470530329,0.8207210532791926,0.9690537713793524,0.8143226282761165,0.9245724129445058,0.8591731266149869,0.8978712932201303,0.8833517903285344
Q96EK5,KIFBP,8,0.955285138248848,0.9358438940092166,0.9092741935483871,1.0,0.9286434331797235,0.9761664746543779,0.8965293778801843,0.8480702764976958,0.9738623271889402,0.7764800609941254,0.7821175416846655,0.7519404391647145,0.7441474511513204,0.7998590250343072,0.6821351635553771,0.6841248626226266,0.641346332676762,0.7466345749853824
P24043,LAMA2,2,,,,,,,,,,,,,,,,,,
Q92974,ARHGEF2,52,0.9803682342502219,0.9658385093167702,0.9315746365435805,0.9306105385297933,0.9795662412122039,1.0,0.9314722544536209,0.7808511364411986,0.9408572793665961,0.6647837476742479,0.5625873409825143,0.542004877288032,0.6300620263113821,0.5786953560477612,0.5983829300163964,0.5509537745465026,0.4376010759392092,0.5869283415255542
Q06520,SULT2A1,7,0.8574047200794317,0.8564881998014208,0.9254563507217599,0.846941113572138,0.9711296112426488,1.0,0.9091881157870619,0.7480333002367677,0.9771633697395558,0.6114633396303031,0.6927777994936505,0.7422619280289113,0.796560728529765,0.8543367921168801,0.6994648438903073,0.6489107882515814,0.5266716166806942,0.6534579784413083
P0CG12,DERPC,4,1.0,0.9229554229554231,0.8652158652158654,0.9264654264654265,0.8918918918918919,0.8971568971568973,0.8413478413478414,0.8406458406458408,0.8862758862758863,,,,,,,,,
Q9H0H0,INTS2,1,,,,,,,,,,,,,,,,,,
A2RUB6,CCDC66,1,,,,,,,,,,,,,,,,,,
Q9UBF2,COPG2,33,0.7713390918223345,0.7789932799385973,0.7846011442931654,0.7472205888600695,0.8284330868528258,0.7927551977557965,0.7668246829129467,0.8249965125965445,0.8354312017019804,0.9374842450214268,0.8641290647844718,0.9416435593647592,0.9994958406856566,1.0,0.951726745651626,0.9359717670783968,0.9324426518779934,0.9446685152508192
P02768,ALB,27,0.31123544146417276,0.31244583401897863,0.2874737169290403,0.3001554129413271,1.0,0.37225970416689524,0.29720439544365823,0.3062512570164372,0.30413764101438945,0.34459454183091387,0.27487805171357627,0.2706809411870073,0.2664446053284144,0.25888719135845545,0.29807329805043986,0.5730167253173895,0.30173432903934727,0.32947971389099595
Q01650,SLC7A5,1,,,,,,,,,,,,,,,,,,
Q12840,KIF5A,78,1.0,0.8715919433342567,0.7386727869890389,0.7995726326619446,0.839499821930276,0.8300423410233073,0.8122749396541491,0.8452771952039887,0.7975149380713071,0.9910884526351157,0.8288799870296166,0.7796726518513504,0.8045399301646529,0.7624500845389572,0.7826602400586024,0.7961922572326255,0.8846775903121149,0.8522534712392931
P27144,AK4,47,0.7564006222279115,0.7531210274051002,0.7445748519710647,0.6926461534900055,0.7549905032812957,0.7318944641708143,0.7334220930296481,0.6814933945485889,0.7320974358373726,1.0,0.8781816097225407,0.8168806848582129,0.8588626461820684,0.9259726362455095,0.8210081785523199,0.8336963999082778,0.8116066651379654,0.8895513261484368
O43182,ARHGAP6,1,,,,,,,,,,,,,,,,,,
