Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
Q8NCW5,42,NAXE,15067.9,15327.3,15411.1,14667.8,16170.7,15790.0,14999.3,16021.7,15351.4
Q8NBF2,29,NHLRC2,10977.7,11009.5,11166.7,11429.6,10919.7,10593.6,10879.6,9119.2,11250.4
P28070,34,PSMB4,13877.7,13727.7,14346.5,14795.5,13794.1,13919.3,13324.2,14942.9,13094.3
Q96K21,35,ZFYVE19,8584.5,8595.0,8233.5,8087.6,8429.5,8101.7,8212.4,8460.5,8210.6
Q9Y696,42,CLIC4,14398.6,14532.6,15113.8,14888.7,15267.2,15044.3,14951.4,15212.8,14581.8
Q92890,32,UFD1,17395.9,19120.7,18435.9,17746.5,19371.7,18740.7,18353.8,19164.2,18371.2
Q16698,37,DECR1,23777.5,23495.0,21606.1,22819.5,19795.7,20840.3,21760.5,22473.6,21850.1
Q92599,33,SEPTIN8,2841.9,2816.6,2937.3,2791.4,2862.2,3121.9,2846.3,3168.3,2990.5
O95336,41,PGLS,19674.2,20366.6,20532.3,19657.0,20667.5,20267.8,20307.0,21466.6,19617.8
Q8N3D4,32,EHBP1L1,6032.6,5823.0,5654.4,5791.3,6088.5,5754.6,5723.0,5568.6,5925.4
Q9Y3Z3,38,SAMHD1,12482.6,12717.8,12669.7,12592.0,12941.9,12775.6,12696.3,12630.5,13259.9
Q16630,31,CPSF6,10071.2,9841.1,9780.9,8715.0,9852.2,9827.6,9879.1,9810.7,10087.0
Q9UBL3,33,ASH2L,15663.0,14331.6,14751.3,15307.3,14022.6,14759.2,14765.8,12412.4,14135.8
P82933,34,MRPS9,10420.3,10466.8,10590.1,10551.6,10617.5,9844.3,9924.6,8765.4,10465.6
Q12765,33,SCRN1,14589.1,14926.5,15719.4,15335.1,14591.0,15834.9,14514.0,15829.2,14678.5
Q96BJ3,22,AIDA,11428.9,10600.1,10258.0,9349.2,11123.6,11499.9,10609.7,11382.1,10908.0
O15144,53,ARPC2,24360.4,24717.8,24400.5,23680.8,24906.2,23962.7,24332.8,25555.3,24669.7
Q6XQN6,33,NAPRT,15638.7,16111.1,16163.6,15662.5,16648.4,16786.5,15785.6,17004.5,16094.6
P02533,39,KRT14,5362.4,8346.4,6878.3,6034.0,5727.5,5844.2,15143.6,6948.4,6061.7
Q9Y316,30,MEMO1,11908.6,12719.6,11780.2,11816.8,12556.3,11958.2,11819.5,12226.2,12118.4
Q9NRR5,43,UBQLN4,9537.9,9664.9,8953.5,8903.8,10076.1,10511.3,9777.4,10426.5,9993.9
P78559,32,MAP1A,11912.1,11349.7,10745.0,10797.0,11798.9,11768.5,11403.2,11270.9,12057.6
P32969,37,RPL9,20055.1,19605.8,17364.0,18678.9,19243.8,17056.8,18525.0,18310.0,20405.3
Q04726,28,TLE3,13698.2,14116.6,13289.5,12909.7,14046.1,20138.2,13731.3,18077.9,16115.2
Q9BV44,43,THUMPD3,15677.8,16626.5,16801.0,16463.5,16529.4,16758.7,16977.4,17226.3,15962.8
Q1KMD3,25,HNRNPUL2,7323.6,7117.6,7225.9,7594.9,7365.9,7505.8,7345.4,6142.0,7286.6
A6NDG6,48,PGP,29850.1,29599.6,29954.0,29066.4,29997.9,29507.5,28899.4,30545.3,29066.7
P18124,65,RPL7,36689.6,36352.6,34590.9,36405.3,34681.8,32516.1,35725.7,34984.5,37044.6
Q15291,27,RBBP5,12211.7,12148.8,12074.7,12449.3,12391.2,12177.2,12345.3,12473.6,11792.3
Q9BUI4,28,POLR3C,13907.1,13499.6,13329.6,13241.4,13257.8,13602.6,13142.7,13837.7,13663.7
P12829,43,MYL4,24936.0,25251.0,25449.0,24192.7,24007.0,24650.2,24527.1,25246.1,23834.4
Q14145,30,KEAP1,7634.6,9092.3,10596.8,9972.4,7723.7,10732.7,10565.7,8898.9,7964.8
Q15785,27,TOMM34,4015.2,3935.5,3923.3,3975.4,3999.6,4087.7,3957.4,2654.9,4144.1
Q9H7D7,29,WDR26,13649.8,13477.2,13027.1,13655.0,12900.3,13208.6,13190.4,12607.2,13302.5
Q9BUJ2,33,HNRNPUL1,6982.4,8203.2,7218.8,7099.5,8983.2,7776.3,8247.3,7858.1,8703.9
Q99541,26,PLIN2,11460.7,10619.3,9890.1,10777.0,10808.9,10420.0,10662.1,9844.7,11148.0
Q6L8Q7,28,PDE12,9972.9,10381.3,10140.4,10355.6,10457.7,10405.5,10410.2,9945.6,10301.2
Q92990,32,GLMN,15686.7,15229.0,14634.5,15514.8,15830.4,15248.7,14930.6,14919.7,15760.7
P18085,53,ARF4,10248.4,10092.0,10135.7,9934.9,10804.0,10603.4,10208.9,10176.9,9907.2
O76071,38,CIAO1,12236.5,12273.1,12046.2,11759.0,12417.6,12486.4,11814.0,11987.8,11995.2
Q86U44,30,METTL3,7689.8,7523.3,8105.8,8256.1,7469.4,8046.6,7704.5,7897.7,7326.0
O00233,36,PSMD9,12325.8,13120.7,12540.9,12776.4,12716.9,12819.8,12242.9,13334.7,12751.8
Q8IZ21,27,PHACTR4,7969.1,8152.4,8508.7,7990.6,8282.9,9039.0,8469.6,9621.4,8308.3
O00764,43,PDXK,12680.1,14822.6,13693.2,14083.2,16652.2,13346.4,14964.7,15900.7,15705.5
O95456,48,PSMG1,22400.6,22712.7,22486.5,22575.0,22645.1,23323.7,22385.5,25072.0,22173.4
P30044,47,PRDX5,25545.7,26179.1,26564.9,24474.1,27920.6,26177.7,25747.9,27297.5,27323.7
Q8NFH3,38,NUP43,11782.5,12113.2,11809.7,11392.1,12195.1,12061.6,11731.7,12087.9,11870.1
Q13144,23,EIF2B5,5879.5,5687.2,5609.3,5721.6,5534.7,5451.4,5349.6,3830.7,5762.3
P68871,49,HBB,7636.7,7093.0,7058.5,6722.7,7245.6,7270.3,6909.7,7251.7,6917.8
Q96C19,38,EFHD2,20409.6,20985.5,21065.9,19895.9,20547.2,20471.0,19649.9,22177.2,19076.8
O75822,34,EIF3J,21174.3,19827.1,19710.4,20980.3,20379.7,19735.0,20125.7,21000.5,19828.6
Q15004,27,PCLAF,8537.8,11643.4,11733.3,10664.4,8862.6,11847.8,10943.1,11718.4,9370.5
Q07960,43,ARHGAP1,15737.2,15363.6,16135.0,15061.2,16137.8,16447.2,15583.8,16594.9,15869.8
Q9BXS6,37,NUSAP1,15471.3,17139.2,16188.1,16155.7,16678.9,16436.3,16340.0,17453.6,16619.9
P21283,38,ATP6V1C1,17801.2,16689.2,15878.3,17170.7,17915.1,16086.2,16648.1,14586.2,17526.4
O43815,26,STRN,13789.3,13753.4,13001.4,12985.5,13714.9,13038.8,12995.1,13851.1,13663.2
Q96C86,31,DCPS,7916.6,8677.2,8356.4,8613.1,8639.8,9033.3,8613.9,8688.4,9136.0
P84085,54,ARF5,2302.5,2539.6,2579.9,2351.8,2516.8,2764.7,2458.6,2782.7,2567.1
Q9BQ61,32,TRIR,14234.2,14786.7,15506.0,15240.8,14197.7,14690.7,15156.0,16069.7,15685.8
Q96AC1,31,FERMT2,13154.6,13220.6,13355.5,12920.3,13455.6,13334.9,12863.1,14307.9,13266.7
Q8N573,29,OXR1,7368.0,7947.8,8206.3,7734.5,8060.9,7839.2,8236.3,8204.4,8291.2
Q04446,34,GBE1,10180.2,8801.3,8591.5,10265.6,9394.3,8800.3,9072.7,7413.4,9732.2
O60282,34,KIF5C,402.8,470.7,439.6,415.6,462.5,469.7,420.1,474.7,421.0
Q99615,38,DNAJC7,8558.6,8378.1,8834.7,8654.8,8061.0,8323.2,8322.6,5156.3,8377.5
Q9Y3P9,30,RABGAP1,12681.1,12113.9,12198.8,12555.2,12135.6,12632.0,12734.3,12328.6,12352.3
P09661,32,SNRPA1,15589.4,15676.9,15378.9,15958.7,15516.2,15068.9,14948.4,14916.7,16092.8
P49840,30,GSK3A,13422.1,13211.5,15953.2,16156.7,14824.3,16303.3,14734.0,17416.5,16597.8
Q99436,44,PSMB7,23661.4,25004.0,26059.8,24789.5,24334.2,24075.7,25020.7,26595.7,23760.2
Q00169,35,PITPNA,19119.7,18978.2,19669.5,19555.7,19380.7,19327.8,19115.2,21570.4,19066.0
Q9BPX3,27,NCAPG,5684.0,5658.8,5843.4,5934.2,5982.4,6023.2,5809.7,4010.0,5909.9
Q15274,50,QPRT,20165.0,21782.0,20032.7,20146.7,22448.1,29075.4,19528.4,21512.2,20917.4
P55809,28,OXCT1,14857.9,14903.1,14657.3,14449.3,15722.6,14749.3,14750.2,15350.8,15070.9
P16083,28,NQO2,17556.8,17154.7,17219.0,16476.7,17595.4,17809.6,17543.9,18757.6,16791.2
Q8IX12,34,CCAR1,12461.8,11999.4,11939.8,12365.1,11949.3,11877.3,12159.0,11221.7,12603.8
O75940,17,SMNDC1,7544.7,7734.9,7944.0,7339.4,7097.7,7661.2,7824.9,8115.0,7115.6
Q7L2H7,27,EIF3M,9723.7,8508.1,9051.8,9520.8,8410.9,8770.0,8951.7,7134.2,9076.3
Q14558,30,PRPSAP1,9843.5,10227.4,10134.8,10296.7,10218.8,9914.8,9941.0,10794.3,10022.6
P31751,35,AKT2,14672.9,15438.4,12925.7,14831.0,15028.0,14027.5,16148.7,13454.9,14823.1
Q8WXX5,24,DNAJC9,15365.1,14183.3,15352.2,15043.4,13674.5,14734.9,14567.6,14952.7,13674.9
P62942,25,FKBP1A,9690.5,10221.6,9392.3,9761.0,10074.4,9835.1,9567.0,10321.6,9477.8
P62491,41,RAB11A,418.7,439.1,386.5,436.4,482.2,391.7,383.0,446.1,410.8
P22570,37,FDXR,10415.3,10111.8,9774.7,10136.2,10091.0,10254.7,10072.0,8173.9,10245.6
P30085,26,CMPK1,10823.9,9842.2,9741.3,9739.4,9288.2,9808.8,9823.4,6037.8,10150.3
P63208,32,SKP1,21560.1,21585.6,21579.2,20910.3,21116.1,20744.7,21307.0,22648.9,20945.8
Q99447,30,PCYT2,10277.8,10322.6,10087.1,10242.9,10273.5,10375.2,10416.7,10008.1,9985.0
Q96D71,32,REPS1,10937.3,10382.8,10027.5,10854.5,10494.0,9783.7,10107.7,9258.4,11214.8
P45954,26,ACADSB,11421.2,10878.7,11082.9,11040.4,11068.3,11322.2,10975.0,9554.5,11425.6
P27635,41,RPL10,19136.0,19337.1,17961.3,19562.9,18271.1,16967.5,18669.0,18274.3,19806.7
