Accession,logFC,-logPval,-logAdjPval,"Abundances (Normalized): F9: 126, Sample","Abundances (Normalized): F9: 127N, Sample","Abundances (Normalized): F9: 127C, Sample","Abundances (Normalized): F9: 128N, Sample","Abundances (Normalized): F9: 128C, Sample","Abundances (Normalized): F9: 129N, Sample","Abundances (Normalized): F9: 129C, Sample","Abundances (Normalized): F9: 130N, Sample","Abundances (Normalized): F9: 130C, Sample","Abundances (Normalized): F9: 131N, Sample"
P52564,1.2925,12.2764,8.6292,1443.1,1384.1,1466.3,1410.3,1458.1,3483.8,3687.4,3426.9,3528.0,3419.6
Q00535,1.2852,12.0377,8.6292,3876.2,3778.5,3791.9,3726.8,3839.1,8760.7,9498.6,9648.7,9045.2,9408.2
Q10713,0.7605,11.3896,8.1571,6373.4,6395.0,6416.2,6361.0,6551.7,10669.0,10854.1,11094.3,10903.8,10854.9
Q9Y2H1,1.0023,10.8819,7.7744,1168.3,1214.4,1235.2,1189.8,1236.3,2466.4,2430.2,2279.7,2502.1,2432.0
Q13557,0.7683,10.2981,7.2874,8257.8,7997.6,7894.7,7975.6,7986.4,12942.6,13885.4,13769.1,13849.9,13893.4
P36507,0.988,10.1338,7.2436,10062.4,9615.9,9298.5,9543.6,9503.4,17749.7,19963.0,18757.9,19234.0,19592.4
Q00526,1.3399,10.1081,7.2436,490.6,428.9,478.1,456.1,481.8,1076.7,1167.2,1245.0,1193.6,1230.4
Q13043,1.0821,9.9213,7.1147,3374.2,3590.2,3282.2,3419.5,3398.6,6545.7,7420.7,7506.2,7329.8,7354.8
Q9Y6E0,0.8334,9.6169,6.9073,2004.5,1993.3,1865.2,1879.6,1933.5,3432.2,3453.9,3322.9,3669.9,3365.6
Q02750,0.883,9.618,6.9073,7886.5,7723.8,7851.7,8035.9,8042.0,13832.5,15270.6,14128.8,14206.1,15551.7
Q05513,0.9551,9.5673,6.899,195.1,187.1,189.0,193.4,174.5,346.8,371.6,370.7,349.2,382.3
P51812,0.656,9.408,6.7776,9591.3,9034.1,8881.8,8925.6,9502.4,14447.7,14352.4,14286.3,14676.9,14581.2
Q15208,0.8068,9.116,6.6756,2325.4,2107.9,2186.3,2065.3,2293.2,3893.5,3801.7,3710.7,3940.2,3842.3
O14965,0.7056,9.106,6.6756,1989.5,2051.7,2105.2,2087.0,2216.8,3279.5,3372.0,3479.4,3413.1,3491.6
Q9P289,0.6385,9.0911,6.6756,5760.0,5504.3,5475.2,5454.5,5543.3,8453.8,8479.1,8344.4,9025.7,8886.9
P19784,1.1284,9.169,6.6756,2171.7,2047.6,2093.9,1992.3,2268.2,4414.6,4465.3,4657.2,4431.7,5164.9
P15735,0.7697,9.0842,6.6756,3705.3,3872.1,3598.3,3672.7,3684.9,5934.2,6468.8,6145.8,6378.5,6687.1
P49841,0.5693,9.1701,6.6756,6065.7,6087.8,5896.8,5908.2,6026.8,8531.4,8855.8,8966.4,9247.8,8902.6
Q96RR4,0.8943,9.1001,6.6756,1230.3,1337.7,1246.9,1271.5,1377.7,2249.6,2488.7,2373.3,2397.1,2503.6
Q13188,0.69,9.1866,6.6756,7049.6,7390.2,7021.8,7433.3,7314.8,11445.3,11239.9,12010.0,12231.4,11500.8
Q13555,0.7796,9.0331,6.6457,3778.6,3837.4,4155.4,3779.2,3800.1,6243.4,6885.0,6790.8,6674.6,6622.0
Q96SB4,0.5697,8.9651,6.6173,8709.5,8491.6,8259.1,8505.0,8382.3,12371.4,12463.4,12129.7,13050.5,12851.5
P41240,0.6767,8.9795,6.6173,6278.1,5943.3,5840.8,6061.3,6495.6,9512.8,9835.0,9932.7,9720.6,9914.4
P22830,0.5168,8.6454,6.316,4174.3,4241.0,4262.2,4115.3,4340.4,5933.5,6231.2,6228.4,5935.6,5912.2
Q2M2I8,0.7763,8.6192,6.3075,2210.6,2138.0,2146.2,2240.7,2287.4,3510.1,3794.1,3638.8,4009.4,3943.1
O14757,0.6762,8.4632,6.185,1719.7,1851.3,1803.9,1819.3,1854.8,2793.9,3018.6,2718.7,2960.4,2974.3
Q9UHD2,0.9223,8.4702,6.185,574.1,550.6,556.4,537.2,581.9,1106.8,1073.5,942.7,1140.9,1051.7
Q9NWZ3,0.9665,8.3049,6.0424,405.0,352.0,407.8,406.6,443.2,776.1,752.3,811.4,795.2,792.3
P31323,-0.5479,8.2608,6.0136,902.7,891.5,869.1,863.3,922.3,613.1,587.3,589.0,618.2,636.1
P55263,0.5336,8.2329,6.0004,16819.2,17279.8,16705.9,16788.5,16826.1,22980.5,25588.0,24776.3,24152.9,24774.6
Q9BYT3,0.7428,8.2044,5.9862,475.2,498.7,519.3,470.5,540.3,798.0,856.2,824.4,847.6,859.9
Q9H2G2,-0.4367,8.1544,5.9499,37426.8,35927.0,36657.3,36721.5,35662.2,26560.5,26400.5,26604.5,27981.4,27221.5
P24941,0.4702,8.0865,5.8954,8364.0,8313.0,8490.4,8540.3,8460.4,11035.0,11725.3,11903.0,11685.9,12089.6
P13861,-0.3661,7.5371,5.359,15556.2,15314.7,15398.4,15438.8,15409.4,11779.0,11524.9,11980.6,12168.7,12398.6
Q14012,0.5915,7.4883,5.3228,6765.9,6489.1,6317.8,6247.0,6590.1,8909.4,9892.7,10179.6,9852.3,10034.8
Q8N5S9,0.8301,7.4374,5.2841,697.4,804.0,713.9,784.8,789.7,1392.0,1433.5,1392.1,1213.9,1306.5
O75439,0.3762,7.073,4.9316,7790.9,8030.0,7496.7,7695.5,7840.4,9854.0,10049.9,9802.7,10472.3,10253.7
Q9BUL8,0.4358,6.9261,4.7962,8155.0,8167.2,7779.9,7870.9,8143.8,10284.0,10695.9,10715.1,11567.9,11031.0
Q93100,0.4407,6.8477,4.7359,1814.5,1867.7,1728.3,1743.8,1811.5,2370.0,2371.2,2349.6,2567.5,2513.9
O14733,1.055,6.8435,4.7359,64.7,64.6,85.9,73.3,61.6,148.9,139.8,138.0,144.8,150.9
Q9BXW6,-0.5461,6.7136,4.6168,2521.9,2397.8,2217.1,2347.3,2564.8,1612.7,1603.8,1594.8,1690.6,1743.9
Q6ZSR9,0.5728,6.6604,4.574,726.0,730.7,717.9,744.8,760.1,985.9,1164.5,1047.1,1156.9,1128.5
P45985,0.5785,6.2906,4.2144,334.4,330.7,329.3,309.8,306.2,512.3,499.2,473.4,498.2,425.3
Q13523,0.2956,6.1208,4.0547,2319.4,2366.2,2523.7,2445.1,2382.4,2923.5,2922.3,2930.1,3041.7,2952.1
O75116,0.2807,6.1071,4.0507,15885.1,15420.4,15114.4,15217.0,14968.3,18454.8,18357.7,18175.5,19367.8,18708.5
P49840,0.345,6.0108,3.9639,3737.1,3622.6,3616.3,3513.0,3511.8,4537.2,4839.5,4319.2,4540.9,4636.6
Q9UKE5,0.7471,5.7443,3.7068,1158.7,1270.9,1449.6,1210.3,1326.4,2445.7,1933.2,2218.6,1970.1,2208.7
O00506,0.7475,5.6323,3.6039,142.6,131.0,131.4,159.9,130.1,212.3,228.0,261.0,211.2,255.3
P68400,0.3049,5.5385,3.519,14161.0,14116.5,13572.9,14698.4,14375.2,16453.8,17363.5,17856.9,17831.2,18133.3
Q9Y6R4,0.3248,5.267,3.2563,1243.2,1177.2,1261.1,1223.7,1265.3,1670.0,1525.5,1561.4,1515.1,1461.4
Q16566,0.5779,5.2467,3.2446,416.6,463.6,358.7,373.9,405.0,586.8,654.1,602.6,589.4,570.3
O14976,0.3324,5.1375,3.1439,1336.7,1427.1,1474.3,1396.1,1466.6,1757.9,1805.8,1697.0,1757.2,1925.0
Q00536,0.4848,4.9952,3.0099,2604.9,2726.4,2353.7,2390.2,2759.1,3978.9,3366.6,3402.5,3669.3,3537.9
P45984,0.254,4.8854,2.9082,6889.2,6827.0,6526.6,6770.4,6802.5,7558.7,8144.7,8508.2,8076.3,8058.5
O96017,0.2546,4.8697,2.9005,6891.9,6667.2,6765.6,6888.2,6916.0,7599.9,8268.0,8385.3,7989.4,8502.9
P53778,0.2168,4.8521,2.8907,1997.8,1928.8,1962.7,1975.0,2030.4,2177.6,2348.8,2359.8,2300.4,2315.8
P46020,0.2003,4.7967,2.8429,1040.8,1027.4,1010.5,1049.8,1095.4,1210.8,1203.0,1186.6,1179.3,1220.5
Q96GX5,0.423,4.6953,2.7491,195.5,236.2,234.7,210.1,229.1,302.8,305.5,274.2,304.3,292.8
P50750,0.2843,4.5776,2.6389,1315.1,1295.3,1204.7,1218.6,1379.9,1522.3,1567.1,1540.6,1550.7,1621.6
Q9NX07,-0.2268,4.5349,2.6035,338.8,335.7,318.9,325.2,310.9,282.6,289.4,278.6,269.4,272.2
Q9Y5P4,-0.1851,4.4731,2.5488,13194.4,12843.1,12805.7,12765.0,12756.4,10794.1,11377.8,11231.8,11708.4,11520.4
Q16539,0.2452,4.4473,2.5301,1458.0,1327.9,1394.5,1357.7,1426.2,1614.9,1588.9,1721.6,1713.6,1615.7
Q16637,-0.2307,4.4049,2.4946,459.9,444.9,451.6,474.6,444.3,403.0,396.3,396.8,378.7,365.0
P67870,0.246,4.3343,2.4309,7914.6,7659.8,7586.4,7568.8,7939.0,8439.4,9546.3,9367.6,9078.5,9461.4
Q96RG2,0.3228,4.2962,2.3995,1765.1,1715.0,1585.3,1556.3,1628.5,2147.5,1957.0,1922.9,2184.5,2109.0
O75582,0.3014,4.2664,2.3763,450.0,486.0,497.5,487.3,444.9,607.0,594.1,537.6,607.0,569.7
Q5VWQ0,0.2972,4.2177,2.3342,1012.9,1007.8,1037.5,1086.2,1161.6,1364.7,1318.4,1230.0,1266.2,1335.6
P27361,0.1763,4.1602,2.2831,5157.4,5229.7,5015.1,5273.2,5201.8,5569.5,5926.9,5802.3,6036.9,5911.6
O15530,0.3657,4.1504,2.282,1967.4,2175.4,1992.1,2077.0,2199.3,2727.4,2496.8,2988.8,2462.6,2759.4
Q9NPE3,0.5568,4.1465,2.282,344.5,324.5,359.1,355.6,359.4,433.7,491.2,566.5,475.0,616.5
Q13627,0.2474,4.1147,2.2563,1915.0,1890.0,1895.1,1830.5,2028.8,2215.7,2110.6,2338.3,2355.4,2331.1
Q03164,0.437,4.0812,2.2289,328.7,285.6,291.8,304.3,341.6,407.4,411.1,464.8,371.6,447.6
P52597,-0.1697,4.0491,2.2028,13115.7,12045.9,12132.2,12572.4,12498.4,11069.4,11050.1,11109.5,10916.0,11274.9
Q8NAA6,0.565,4.0406,2.2002,52.4,50.8,58.5,63.5,65.8,92.8,78.5,89.5,74.9,94.4
Q9HAV0,-0.2692,3.9943,2.1598,91.7,92.9,105.8,91.5,92.3,77.4,79.4,80.7,75.0,80.5
P49336,0.1698,3.9526,2.1238,2031.1,2133.5,2017.8,2001.4,2136.5,2305.5,2259.8,2314.7,2386.8,2339.8
P49137,0.1649,3.9454,2.1222,5679.2,5352.4,5437.8,5538.3,5405.9,6422.3,6113.4,6064.8,6159.2,5975.7
Q9Y2A7,-0.1361,3.8386,2.0211,22805.7,21638.1,21621.1,22200.0,21819.1,19652.5,20184.3,20151.5,20267.7,19904.9
A6NJ78,-2.1486,3.7926,1.986,119.0,68.8,130.4,62.0,32.4,22.4,17.6,18.4,17.6,9.8
Q05397,0.1904,3.7963,1.986,8868.6,8571.9,8434.7,9073.7,8878.9,9384.9,10194.4,9955.1,10170.9,10316.9
P42785,-0.1767,3.7463,1.9452,2435.8,2444.0,2347.7,2358.6,2404.1,2066.5,2205.6,2199.1,2130.6,2011.4
Q96QU8,-0.1784,3.7367,1.9409,1097.9,1033.6,1002.7,1040.7,1011.8,901.4,949.9,926.4,884.5,920.3
O95997,0.1481,3.6907,1.9002,1119.2,1154.3,1205.7,1145.4,1197.6,1289.9,1303.5,1263.8,1302.2,1290.3
P35270,0.227,3.6823,1.8969,2432.8,2455.8,2217.9,2377.2,2415.3,2769.6,2813.0,2596.9,2971.5,2779.4
Q5VVJ2,-0.3306,3.622,1.8418,669.7,568.1,643.2,590.3,557.5,462.1,457.4,480.7,474.6,531.1
Q96CG3,0.1479,3.5662,1.7911,802.4,808.4,802.7,787.5,793.7,844.6,884.4,930.6,883.8,884.4
O94804,0.1956,3.5483,1.7811,595.0,577.5,610.4,592.7,580.8,681.1,677.5,664.0,635.7,730.1
P25686,-0.2073,3.5463,1.7811,574.4,568.0,580.3,554.5,554.5,499.5,513.6,511.5,481.5,449.2
Q92844,0.1903,3.5281,1.7679,1226.7,1224.7,1289.0,1235.4,1285.1,1371.8,1492.9,1348.9,1445.3,1489.2
Q00534,-0.2029,3.5115,1.7561,10096.4,10025.6,10258.1,9773.3,9930.2,9590.7,8413.2,8402.9,8535.1,8619.9
Q8TD19,0.1791,3.4869,1.7363,12864.2,12528.7,12176.8,12732.7,13098.7,13478.1,14105.9,14472.0,14896.0,14854.7
Q9H477,0.1514,3.4612,1.7201,2455.3,2639.3,2641.6,2602.1,2531.4,2814.5,2919.7,2799.2,2813.5,2944.2
Q05655,-0.136,3.4641,1.7201,4839.4,4767.6,4571.5,4633.2,4744.0,4334.5,4117.6,4297.9,4364.5,4322.3
O95747,0.1643,3.4481,1.7116,1180.9,1141.9,1189.9,1169.9,1237.7,1321.1,1353.8,1318.4,1380.6,1261.4
Q9NYJ8,-0.339,3.4232,1.6913,384.0,354.4,361.3,382.9,348.1,301.5,301.8,281.0,320.2,247.2
Q96BM9,0.1395,3.3738,1.6464,2568.9,2531.2,2434.1,2627.7,2529.7,2760.3,2728.4,2769.5,2837.0,2883.8
P22059,-0.1339,3.3442,1.6214,19154.2,19377.8,18712.9,19453.5,19072.3,16730.4,17444.2,17467.7,17438.6,18222.3
Q8TEA7,-0.2985,3.3174,1.599,371.0,314.9,310.5,307.5,298.7,240.9,273.8,256.8,264.0,264.8
O95429,-0.1344,3.3061,1.5921,1353.6,1397.2,1407.6,1312.6,1387.9,1247.6,1250.8,1259.2,1279.1,1211.2
P45983,0.2519,3.2513,1.546,285.1,299.6,314.6,286.9,295.6,369.3,351.8,314.5,350.2,381.3
O75190,-0.1185,3.2539,1.546,2598.1,2628.1,2590.0,2547.9,2650.2,2450.1,2455.8,2401.5,2353.7,2328.8
P54646,0.2332,3.2285,1.5275,3227.3,2974.4,2991.0,3179.5,3124.9,3285.6,3530.5,3735.6,3806.2,3881.7
Q9UK41,-0.1228,3.1921,1.4954,1541.8,1490.7,1468.4,1531.1,1504.9,1391.8,1372.4,1333.8,1422.2,1402.3
Q99986,0.2369,3.183,1.4913,4553.8,4578.1,4525.2,4442.7,4590.5,6032.6,5076.0,5088.1,5559.8,5048.6
P22694,-0.1768,3.1797,1.4913,1820.8,1743.1,1693.8,1754.1,1736.2,1420.5,1560.1,1573.2,1609.5,1581.0
Q9UBF8,0.1604,3.1587,1.4744,5275.4,5183.2,5095.5,5208.7,5361.6,5495.9,5720.1,5803.8,6179.6,6017.6
Q7L576,-0.1214,3.152,1.4718,17185.9,15955.2,16468.1,16450.1,17130.8,15340.1,15232.6,15209.1,15312.6,15354.0
P82909,0.1067,3.1202,1.444,3312.7,3346.6,3352.9,3297.7,3271.2,3680.4,3498.7,3493.6,3604.4,3579.9
Q86XR2,-0.1814,3.104,1.4358,1117.8,1075.1,1058.1,1017.6,1004.0,966.8,934.1,915.6,959.1,873.6
Q8IU85,0.2016,3.1044,1.4358,200.5,207.1,210.2,218.1,213.6,219.8,245.8,252.5,254.0,236.0
Q9NS91,0.1308,3.0676,1.4033,1289.7,1232.9,1282.5,1203.3,1253.4,1356.8,1377.0,1363.5,1425.3,1333.1
P49419,-0.102,3.0614,1.401,20660.6,19900.0,20047.4,20016.3,19574.7,18404.0,18731.8,18609.5,18964.5,18640.3
Q68CQ4,-0.6375,3.0282,1.3717,55.6,42.0,56.3,57.0,43.7,38.1,30.0,38.7,24.7,32.9
Q9H0H0,0.3437,3.0201,1.3674,177.4,176.3,158.6,161.9,182.1,213.7,184.8,242.0,239.9,209.9
Q5VTL8,0.1234,3.0076,1.3617,2610.0,2568.9,2774.8,2695.6,2672.5,2963.7,2935.4,2919.3,2829.9,2860.0
P24863,0.1945,3.0069,1.3617,987.1,932.9,985.1,1034.1,981.6,1041.7,1091.5,1136.6,1157.8,1207.4
Q9Y4C8,0.4056,3.0004,1.359,23.2,29.5,24.5,23.0,25.7,34.5,37.5,34.8,32.3,27.8
Q8N4J0,-0.1515,2.9864,1.3523,2196.3,2072.0,2141.0,2112.1,2102.1,1800.4,1941.4,1906.5,1889.5,2032.3
P51649,-0.1275,2.99,1.3523,5327.8,5150.9,5090.9,5249.6,5018.2,4573.5,4687.5,4950.8,4683.0,4760.0
P08151,-0.293,2.9714,1.341,76.0,73.8,69.2,85.1,86.2,67.6,61.4,60.2,66.9,61.7
Q15418,0.1484,2.9526,1.3258,2349.3,2176.9,2220.7,2180.9,2286.0,2375.9,2413.8,2501.9,2570.6,2567.1
Q15185,-0.1442,2.9012,1.2779,19354.8,18827.0,19762.6,18950.5,18443.0,17027.5,17073.2,18368.2,16488.4,17341.9
P00966,0.0952,2.8674,1.2477,1932.7,1958.0,1899.4,1932.6,1915.2,2116.9,2016.8,2048.1,2036.5,2078.2
Q12768,-0.1119,2.8553,1.2391,3428.4,3364.5,3272.4,3214.3,3392.6,3079.5,3185.9,3055.7,3053.1,3051.2
Q9HC36,-0.121,2.8304,1.2224,1028.9,1007.9,935.8,1002.5,993.7,901.7,903.1,911.8,924.3,926.1
O95159,0.2884,2.8288,1.2224,56.9,54.1,50.8,54.5,63.0,77.6,67.2,68.3,63.9,64.1
Q8IXH7,-0.208,2.8282,1.2224,285.9,286.4,289.8,260.1,265.0,242.1,246.7,221.4,232.2,259.1
Q8TB05,-0.1255,2.8233,1.2209,526.5,515.1,495.1,516.2,522.4,481.4,463.0,449.8,482.8,484.2
Q9UHB7,-0.344,2.8127,1.2137,156.6,170.2,145.2,158.7,183.0,146.5,139.1,120.7,115.4,120.2
Q96GD4,0.5325,2.7854,1.1897,90.1,86.0,80.9,106.7,109.1,143.8,136.9,121.7,173.6,111.1
Q04446,-0.1243,2.776,1.1883,10804.7,10574.9,10142.4,10796.4,10771.6,9467.8,9913.7,9900.3,9385.3,10045.8
Q9BVS4,0.1062,2.7806,1.1883,1639.0,1648.9,1657.3,1644.5,1700.6,1784.1,1821.3,1748.6,1843.2,1728.1
Q9Y6E2,-0.1271,2.774,1.1883,8701.5,8239.3,7995.5,8066.9,8583.6,7726.5,7384.7,7598.6,7756.4,7598.3
P11717,-0.1869,2.7609,1.1784,1052.0,1205.9,1120.2,1201.1,1085.5,984.0,1031.1,1002.3,1015.7,938.6
Q9H3S4,0.1441,2.7377,1.1584,711.1,733.6,768.8,743.7,742.7,792.6,780.2,810.0,840.8,866.7
P07196,-0.0801,2.7268,1.1508,3755.2,3780.6,3827.5,3809.8,3775.0,3603.5,3540.0,3548.9,3610.5,3622.1
O75449,0.3511,2.6852,1.1124,526.0,538.0,546.3,537.8,543.2,662.1,681.4,800.3,552.2,764.8
O14980,-0.1767,2.6724,1.1077,46526.6,42021.6,40459.3,40949.5,44296.9,35585.6,38406.6,38404.9,37932.5,39063.5
O15111,-0.266,2.6752,1.1077,760.9,807.6,869.6,800.5,721.3,678.9,737.4,611.8,667.4,600.4
P25054,0.0949,2.6712,1.1077,345.9,328.2,344.5,343.4,341.6,371.2,356.4,361.6,366.4,363.7
Q9Y3T9,-0.28,2.6483,1.0879,365.2,369.8,381.9,374.4,384.6,336.2,351.2,315.5,280.3,269.5
O43169,-0.2343,2.6441,1.0868,244.9,267.6,257.3,240.6,237.5,233.4,192.7,227.0,199.4,210.1
Q6ZNW5,-0.2199,2.6358,1.0846,537.0,493.3,489.4,479.0,499.6,407.2,461.4,432.2,386.1,461.8
Q5T7N2,-0.2542,2.6361,1.0846,442.7,423.8,485.1,426.9,399.4,357.2,417.4,355.4,344.6,352.1
Q8TEQ6,-0.1543,2.6287,1.0805,4851.7,4718.3,4594.0,4646.5,4727.3,4214.2,4216.0,4011.6,4636.3,4095.5
Q99666,-0.2478,2.62,1.0747,602.6,565.9,600.1,572.6,480.3,490.4,449.7,453.6,480.3,496.3
Q99747,0.1236,2.6123,1.07,118.2,112.9,122.8,113.1,119.9,124.7,131.1,131.2,126.5,125.7
P04637,-0.083,2.5778,1.0384,2045.6,2059.4,2114.8,2071.2,2132.6,1978.6,1988.6,1947.6,1962.1,1963.1
Q15653,-0.1607,2.5723,1.0359,612.9,591.3,666.2,643.0,654.9,557.6,534.0,569.6,576.8,595.5
P47914,-0.1554,2.5559,1.0227,8680.2,9289.3,9192.1,8469.1,8414.8,8182.4,8245.9,7598.0,7965.2,7548.3
Q8NEB9,0.1256,2.5534,1.0227,5231.2,5167.7,5162.1,5072.3,5383.3,5495.6,5461.6,5577.6,5926.6,5935.6
Q9Y4Y9,0.3576,2.5495,1.0217,730.1,799.3,845.9,950.6,823.1,954.7,1079.8,1156.3,915.3,1222.5
P12931,0.1021,2.5356,1.0106,3117.1,3125.9,2940.4,2996.9,3163.3,3283.5,3309.2,3235.6,3348.9,3286.0
Q9UHA3,0.1718,2.5278,1.0058,424.1,399.1,418.4,401.7,408.8,456.9,459.8,420.2,503.3,474.8
Q6P3W2,0.1324,2.5202,1.0028,973.2,1026.9,1012.6,965.3,1013.1,1084.3,1116.5,1038.8,1070.7,1162.8
P19525,0.1332,2.5193,1.0028,719.9,783.6,724.7,756.5,716.5,823.6,840.7,828.9,784.6,780.8
Q9Y2I8,0.1397,2.5128,0.9991,1635.3,1647.6,1531.6,1707.7,1651.4,1775.9,1756.1,1726.2,1865.8,1880.2
P31749,0.1893,2.5091,0.9982,1585.2,1441.0,1412.4,1394.4,1502.4,1620.2,1589.9,1590.0,1769.2,1797.3
Q92558,-0.4815,2.4755,0.9673,2932.0,2433.6,2899.6,2483.3,1778.9,2021.6,1717.2,1627.1,1778.2,1715.0
P62987,0.197,2.4708,0.9653,1230.9,1205.3,1143.0,1201.9,1148.1,1453.1,1349.7,1226.5,1481.4,1299.8
Q9UKL6,-0.1358,2.4675,0.9648,4393.8,4646.1,4261.5,4481.5,4374.2,4246.7,4106.4,4106.1,3899.2,3814.4
Q8NGA1,-0.3698,2.4605,0.9604,871.1,814.9,664.0,676.4,739.7,519.2,507.0,588.6,653.5,646.6
Q8N8A2,-0.2636,2.4396,0.9422,87.2,85.7,70.4,88.2,90.7,72.9,67.9,64.2,71.1,74.7
Q9NWX6,-0.1356,2.4335,0.9387,1464.7,1398.5,1351.4,1395.7,1370.6,1184.5,1319.1,1243.0,1298.6,1312.3
Q5TZA2,-1.0508,2.4306,0.9385,238.4,165.7,176.3,120.8,72.0,80.2,85.3,55.6,64.0,65.2
Q9UBQ5,-0.1031,2.4241,0.9346,7997.6,7945.4,8042.3,8070.6,7850.8,7043.8,7549.8,7732.1,7504.2,7339.9
Q86X53,-0.2138,2.4139,0.9272,144.6,149.6,145.6,139.2,145.4,120.5,137.1,108.8,133.3,126.8
Q8NCG7,0.2095,2.4115,0.9272,301.4,317.3,257.9,316.3,280.2,345.7,340.6,328.7,331.3,352.4
P53365,-0.0868,2.4077,0.926,5474.1,5582.5,5352.7,5353.1,5606.5,5160.4,5139.7,5177.9,5248.6,5040.9
P38398,-0.1989,2.3995,0.9209,166.2,155.8,167.7,178.5,163.9,154.5,153.5,142.9,146.1,128.8
Q9Y2R5,0.1432,2.3975,0.9209,1014.4,997.5,971.3,1012.0,1048.2,1046.9,1105.1,1072.5,1161.7,1188.0
Q9BWF3,-0.0852,2.3826,0.9173,7147.3,6842.2,6795.2,7081.8,7034.8,6509.2,6621.4,6492.3,6710.9,6563.1
Q99807,0.4693,2.3814,0.9173,1213.2,1160.6,1228.0,1253.8,1306.0,1592.6,1352.9,2167.1,1459.6,2113.2
Q9Y448,-0.1806,2.3793,0.9173,586.2,592.1,609.1,661.3,594.9,502.5,592.4,522.4,522.7,547.1
Q9NRV9,0.1526,2.3837,0.9173,7742.1,7976.9,7082.9,7662.4,7770.8,8314.4,8980.0,8274.7,8877.2,8059.4
O94906,-0.1703,2.386,0.9173,4446.4,4419.6,4764.4,4432.4,4691.1,4240.8,4174.7,4267.8,3886.9,3673.9
Q9Y6J9,-0.416,2.3765,0.9173,89.7,87.4,98.5,105.8,75.7,77.3,78.3,54.4,67.2,66.1
Q9P2K3,0.105,2.3774,0.9173,807.7,819.0,833.1,759.4,801.5,885.0,859.0,857.8,846.8,874.0
Q86VM9,-0.1377,2.3737,0.9169,1812.0,1933.4,2012.1,1917.5,1986.4,1802.0,1806.1,1764.1,1635.2,1774.7
P26368,-0.1532,2.367,0.9126,10622.5,9960.2,8940.7,10151.9,10037.2,8691.5,9045.8,8922.5,9094.8,8884.9
Q96DC7,-0.1589,2.3402,0.889,864.7,832.1,833.1,788.5,797.1,684.9,795.7,729.1,766.3,713.5
O15234,-0.0966,2.3385,0.889,1157.1,1216.6,1175.4,1188.6,1193.4,1153.3,1117.6,1075.7,1122.8,1078.7
Q99426,-0.1065,2.3318,0.8846,14259.7,14216.5,14194.6,14235.4,13546.8,12660.3,13672.2,13491.9,12830.6,12801.4
Q9P2Y5,0.1342,2.3233,0.8785,727.0,688.0,709.4,747.6,692.5,736.1,798.1,756.1,801.0,821.9
Q99729,0.1109,2.3193,0.8769,26893.0,27277.0,27929.8,27079.4,27407.6,28042.1,30562.1,30063.3,28374.4,30552.0
Q56P03,-0.1538,2.3127,0.8726,796.8,815.2,872.2,789.1,816.2,695.9,790.7,701.4,765.7,724.6
Q9NYV4,0.2534,2.3072,0.87,434.7,437.7,377.3,441.7,408.0,483.2,484.2,446.8,583.8,510.1
O75506,-0.1097,2.3054,0.87,2036.0,2088.3,2117.2,2009.4,2138.8,1814.4,1946.2,1985.3,1957.6,1927.6
Q86TS9,0.2462,2.2805,0.8484,660.4,578.2,556.9,633.7,619.3,682.1,707.4,853.2,690.4,689.2
P24534,-0.0849,2.2793,0.8484,24950.2,23890.8,24890.3,23886.5,24852.4,22629.5,22993.8,23691.7,23008.0,23140.6
P0DI82,0.1513,2.2719,0.8462,462.9,452.1,465.7,476.1,502.8,533.3,489.8,521.8,567.4,509.6
Q16854,0.1228,2.2702,0.8462,1162.3,1162.8,1156.0,1167.4,1273.9,1279.5,1264.1,1351.5,1306.8,1244.7
P13473,0.6961,2.2703,0.8462,1213.4,1345.5,1416.0,1286.6,1414.5,1264.4,2463.6,3152.6,2094.0,2283.5
O75718,-0.2208,2.2552,0.8356,287.6,264.3,284.2,237.0,259.2,207.3,249.0,238.9,225.0,222.5
P08621,-0.0922,2.2558,0.8356,12052.3,11988.6,11945.1,12052.2,11495.2,11341.0,11545.6,10733.6,11076.8,11158.8
Q9NTZ6,-0.1201,2.251,0.8336,12046.9,11867.6,11222.0,11846.3,12076.3,10989.7,10607.6,10348.5,11561.0,10853.9
P42773,-0.1682,2.2453,0.8326,1078.4,1113.2,1035.4,1037.1,950.7,1001.6,927.9,870.6,929.5,909.7
P05783,-0.1156,2.2464,0.8326,2163.5,2033.9,2118.9,2071.3,2191.8,1852.8,1962.6,1908.6,2018.9,2024.0
O15550,0.1671,2.2434,0.8326,541.1,533.0,546.0,571.9,619.0,672.5,594.7,640.6,638.4,608.2
Q13148,-0.189,2.2362,0.832,1477.7,1569.4,1515.2,1511.9,1485.2,1462.5,1430.5,1251.9,1310.0,1194.5
P13674,-0.0701,2.2404,0.832,6394.2,6233.6,6236.8,6266.8,6212.6,5891.1,6006.6,5941.7,6075.5,5942.8
P62491,-0.2481,2.237,0.832,280.0,240.1,265.9,260.5,253.6,181.6,228.7,235.4,230.1,222.2
Q8N0W3,0.115,2.2317,0.8295,1699.2,1745.7,1816.1,1714.7,1729.6,1768.9,1857.2,1900.0,1947.9,1957.2
Q9UBB4,-0.0975,2.2232,0.8232,25020.2,23464.9,24218.4,24212.2,24321.5,21478.9,22799.6,23207.8,22937.5,22907.3
