Accession,logFC,-logPval,-logAdjPval,"Abundances (Normalized): F9: 126, Sample","Abundances (Normalized): F9: 127N, Sample","Abundances (Normalized): F9: 127C, Sample","Abundances (Normalized): F9: 128N, Sample","Abundances (Normalized): F9: 128C, Sample","Abundances (Normalized): F9: 129N, Sample","Abundances (Normalized): F9: 129C, Sample","Abundances (Normalized): F9: 130N, Sample","Abundances (Normalized): F9: 130C, Sample","Abundances (Normalized): F9: 131N, Sample"
Q9UII2,0.0266,0.2065,0.0624,11996.0,12522.6,12654.7,12946.6,11632.9,11669.0,14202.4,12406.0,12612.6,12108.8
Q04917,-0.0166,0.2067,0.0624,29333.3,29921.3,30710.5,30644.3,30574.7,29022.2,30753.0,31297.6,28183.6,30290.1
Q9NPF4,-0.0154,0.2053,0.0623,9368.0,9613.0,9097.9,9523.0,9740.6,8835.8,9396.6,9500.1,9465.8,9650.4
Q8IXJ6,0.0243,0.2058,0.0623,866.0,894.8,847.1,839.5,911.9,868.7,864.4,830.2,996.1,880.3
P62136,0.019,0.2057,0.0623,15569.2,15117.9,15444.0,15639.7,15390.4,14543.2,15786.4,15706.1,15281.9,16957.0
O00233,-0.0181,0.2052,0.0623,11180.2,11029.8,11467.8,10684.0,11489.0,10713.5,11517.3,10825.8,11616.1,10506.0
O75592,-0.0195,0.2056,0.0623,2391.7,2425.6,2373.3,2256.0,2380.2,2519.9,2288.1,2179.3,2342.2,2348.2
Q9Y2M5,0.0554,0.2058,0.0623,58.2,62.6,56.0,68.2,72.3,74.5,66.5,50.7,73.3,66.2
Q9NQP4,0.0253,0.2053,0.0623,10985.2,10452.0,10925.5,10359.0,11323.5,12368.5,10591.7,10775.6,10222.7,11133.0
Q9NRR5,-0.016,0.2044,0.062,8240.6,8395.1,8625.5,8533.7,8595.6,7877.7,8434.8,8284.0,8831.0,8517.9
P17028,-0.0167,0.2045,0.062,5901.9,5455.6,5696.4,6039.1,5980.4,5527.0,5819.0,5738.5,5730.9,5911.5
Q6IPR3,-0.0162,0.2045,0.062,2320.0,2280.3,2385.9,2345.5,2352.2,2169.6,2270.1,2327.2,2356.0,2437.8
Q969M3,-0.0399,0.2048,0.062,224.1,225.2,200.1,203.1,244.7,217.2,182.8,202.5,240.4,226.1
P16930,0.0173,0.2047,0.062,10225.3,10150.1,10313.7,10521.2,10156.0,9621.0,10821.5,10813.1,10243.7,10531.1
Q9UMR5,-0.0222,0.2039,0.0617,1300.6,1231.9,1226.5,1220.5,1419.4,1212.5,1294.8,1229.9,1272.5,1283.1
Q8NEZ5,-0.0162,0.2033,0.0616,7407.9,6957.4,7394.0,7147.0,7531.5,6911.5,7205.1,7530.9,7023.0,7361.9
Q07954,0.0696,0.2036,0.0616,22.6,18.7,31.8,20.8,26.6,23.6,29.8,24.4,25.3,21.8
P49459,0.0665,0.2037,0.0616,1758.5,1619.6,2008.2,1572.2,1632.4,2521.1,1538.2,1734.3,1514.9,1814.1
Q8IXM3,0.0601,0.2032,0.0616,275.1,263.6,318.3,256.8,270.9,400.9,254.6,278.0,270.9,257.3
Q96GI7,-0.0448,0.2033,0.0616,111.8,87.4,114.0,99.7,88.5,94.1,109.2,100.0,86.2,95.0
Q9UHI7,0.0684,0.2027,0.0612,36.4,49.7,53.7,48.1,39.6,44.9,43.4,43.3,63.9,43.5
Q9H7Z6,-0.098,0.2023,0.0612,195.3,185.0,174.2,179.5,350.5,230.9,179.7,150.7,220.9,204.1
Q66K74,-0.0119,0.2022,0.0612,7538.3,7363.4,7191.4,7328.8,7408.7,7275.5,7163.1,7149.2,7514.5,7427.7
